usuario;sección;equipo
da.gonzalez14;1_201810;1
jf.gutierrez13;1_201810;1
as.rojas10;1_201810;1
ed.negrete;1_201810;1
da.benavides;1_201810;2
s.abadia;1_201810;2
px.romano10;1_201810;2
jf.prada10;1_201810;2
ar.corinaldi;1_201810;3
a.manrique;1_201810;3
sj.romero10;1_201810;3
na.diaz;1_201810;4
md.galvan;1_201810;4
dn.gonzalez;1_201810;4
ai.anturi;1_201810;5
ds.foreroa;1_201810;5
li.forero;1_201810;5
da.bernal11;1_201810;6
jc.garciar1;1_201810;6
dg.fonseca;1_201810;6
mc.marquez11;1_201810;6
ci.gonzalez10;1_201810;7
d.arteaga;1_201810;7
je.osorio;1_201810;7
da.delgado;1_201810;8
jd.morales;1_201810;8
co.osorio90;1_201810;8
da.leon;1_201810;9
df.penap;1_201810;9
de.pereira;1_201810;9
ja.salazarb;1_201810;9
s.paeres10;1_201810;5
jf.pena10;1_201810;8
jp.rodriguezv;1_201810;4
im.sarmiento;3_201810;1
na.mora;3_201810;1
n.poch;3_201810;1
da.babativa;3_201810;1
jd.castrellon;3_201810;2
aj.gonzalezt;3_201810;2
jd.mendozar;3_201810;2
c.romerot;3_201810;2
af.garciab;3_201810;2
df.serrano;3_201810;3
jd.ruedaa;3_201810;3
jc.gonzalezv;3_201810;3
jo.ferrer;3_201810;3
jp.cano;3_201810;4
tr.gasparoni;3_201810;4
jd.peniche;3_201810;4
da.rodriguezl;3_201810;4
ca.orduz;3_201810;5
jj.martinezc;3_201810;5
s.barbosan;3_201810;5
mc.londono;3_201810;6
af.borda;3_201810;6
a.mugnier;3_201810;6
af.bolivar;3_201810;6
nf.jaramillo;3_201810;7
jm.florezc;3_201810;7
ac.montoya;3_201810;7
jc.castanedam;3_201810;7
c.pantoja;5_201810;1
jm.aguiar;5_201810;1
le.perezl;5_201810;1
ja.mantilla925;5_201810;1
ca.ordonezp;5_201810;1
ma.bayona;5_201810;2
da.acuna11;5_201810;2
lm.rodriguezc2;5_201810;2
ym.espana;5_201810;2
jd.lozanom;5_201810;2
d.yamin;5_201810;3
sa.ramirezv;5_201810;3
da.solano1;5_201810;3
ch.patino;5_201810;3
jd.camachod;5_201810;3
nw.chang;5_201810;4
kh.castrillon;5_201810;4
df.machado10;5_201810;4
jd.serranom;5_201810;5
ma.escalante;5_201810;5
s.nieto;5_201810;5
n.bahamon;5_201810;5
js.villalba;5_201810;6
a.martinez;5_201810;6
f.rojasa1;5_201810;6
v.duarte;5_201810;7
gj.gonzalez;5_201810;7
cc.pinilla96;5_201810;7
af.donoso;5_201810;8
ni.ramirez10;5_201810;8
df.garcia;5_201810;8
sh.rodriguez;5_201810;8
p.ehrlich;7_201810;1
aa.garcia11;7_201810;1
jd.martinezf;7_201810;1
aa.molano;7_201810;1
n.fajardor;7_201810;2
jd.fuentes;7_201810;2
jd.alarcons;7_201810;2
da.cuellar11;7_201810;2
s.ballesteros;7_201810;3
n.rincond;7_201810;3
ff.gutierrez1438;7_201810;3
jc.duenas;7_201810;3
n.castellasnos;7_201810;4
ja.cordobaj;7_201810;4
sd.diazm;7_201810;4
js.fonsecam;7_201810;4
af.daza;7_201810;5
a.barragan;7_201810;5
ld.manrique;7_201810;5
fe.serrano1899;7_201810;5
lj.garciam1;7_201810;6
iv.barbosa;7_201810;6
jf.mejia12;7_201810;6
m.succar;7_201810;6
js.gutierrezs;7_201810;7
gm.jimenez;7_201810;7
ja.restrepok;7_201810;7
ng.melendez;7_201810;7
s.baqueroa;7_201810;8
sd.serrano;7_201810;8
se.gamboa;7_201810;8
s.sarmientob;7_201810;8
sm.bejarano44;9_201810;1
j.barbosaj;9_201810;1
ys.tarazona;9_201810;1
s.acostav;9_201810;1
jj.torresr;9_201810;2
df.perezc;9_201810;2
ma.cardenasm;9_201810;2
ns.rodriguezo;9_201810;2
s.bernaln;9_201810;3
m.vallejom1;9_201810;3
js.amezquita;9_201810;3
js.clavijos;9_201810;3
jd.diazc;9_201810;4
lm.gomezl;9_201810;4
sf.gongora;9_201810;4
df.manosalva;9_201810;4
cs.osorioa;9_201810;5
ca.salinas;9_201810;5
fj.hernandezt;9_201810;5
ls.cruz;9_201810;5
de.lozanoe;9_201810;6
a.monroy;9_201810;6
jn.garciae;9_201810;6
js.molina;9_201810;6
c.navarroo;9_201810;6
lf.gualtero;9_201810;7
ms.andrade;9_201810;7
pl.callejas;9_201810;7
s.otalorag;9_201810;7
mc.noguera;9_201810;7
